targeting type,targeting value,counts
follower look-alikes,@androiddev,1
interests,dogs,1
follower look-alikes,@applebooks,1
follower look-alikes,@appleedu,1
follower look-alikes,@appleinsider,1
follower look-alikes,@applenws,1
interests,cats,1
follower look-alikes,@appstore,1
follower look-alikes,@bbcnews,1
follower look-alikes,@yhamed,1
follower look-alikes,@xcreators,1
conversation topics,romance films,1
keywords,all apple always,1
conversation topics,politics & current events books,1
keywords,fact,1
keywords,habits,1
keywords,habit,1
conversation topics,itunes,1
keywords,gas,1
conversation topics,kendall jenner,1
conversation topics,kim kardashian,1
conversation topics,kylie jenner,1
keywords,fun,1
keywords,fight,1
keywords,do good,1
keywords,arts,1
keywords,do a good,1
conversation topics,nokia,1
conversation topics,overwatch,1
keywords,conflict,1
keywords,comment,1
conversation topics,paris hilton,1
keywords,bus,1
keywords,branding,1
conversation topics,personal finance,1
wifi only targeting,wifi-only,1
