,date,tweets,retweets
283,2021-03-20,13,3
284,2021-03-21,4,1
285,2021-03-22,12,7
286,2021-03-23,34,3
287,2021-03-24,15,1
288,2021-03-25,20,3
289,2021-03-26,25,5
290,2021-03-27,20,11
291,2021-03-28,19,6
292,2021-03-29,26,2
293,2021-03-30,10,3
294,2021-03-31,11,3
295,2021-04-01,24,7
296,2021-04-02,17,6
297,2021-04-03,23,11
298,2021-04-04,17,4
299,2021-04-05,23,8
300,2021-04-06,14,5
301,2021-04-07,57,6
302,2021-04-08,40,4
303,2021-04-09,14,6
304,2021-04-10,40,2
305,2021-04-11,47,3
306,2021-04-12,10,0
307,2021-04-13,0,1
308,2021-04-18,0,1
309,2021-04-19,0,1
310,2021-04-24,0,1
311,2021-04-28,0,3
312,2021-04-29,0,1
313,2021-05-02,0,2
314,2021-05-21,0,1
315,2021-05-25,0,1
316,2021-06-14,0,1
317,2021-06-24,0,1
318,2021-09-16,0,1
319,2021-09-20,0,2
320,2021-10-16,0,1
321,2021-11-02,0,1
322,2022-01-20,0,1
323,2022-02-24,0,1
324,2022-04-24,28,5
325,2022-04-25,55,7
326,2022-04-26,39,6
327,2022-04-27,65,7
328,2022-04-28,40,1
329,2022-04-29,12,3
330,2022-04-30,45,2
331,2022-05-01,32,4
332,2022-05-02,22,2
333,2022-05-03,11,1
334,2022-05-04,21,3
335,2022-05-05,47,3
336,2022-05-06,44,1
337,2022-05-07,3,1
338,2022-05-08,11,1
339,2022-05-09,9,1
340,2022-05-10,23,0
341,2022-05-11,12,2
342,2022-05-12,53,2
343,2022-05-13,21,2
344,2022-05-14,7,0
345,2022-05-15,4,1
346,2022-05-16,13,0
347,2022-05-17,26,0
348,2022-05-18,31,0
349,2022-05-19,29,2
350,2022-05-20,30,0
351,2022-05-21,14,0
352,2022-05-22,16,1
353,2022-05-23,18,0
354,2022-05-24,8,0
355,2022-05-25,14,0
356,2022-05-26,9,1
357,2022-05-27,18,1
358,2022-05-28,23,0
359,2022-05-29,25,4
360,2022-05-30,35,2
361,2022-05-31,54,0
362,2022-06-01,4,0
363,2022-06-02,2,2
364,2022-06-03,3,1
365,2022-06-04,7,0
366,2022-06-05,12,1
367,2022-06-06,1,1
368,2022-06-07,1,1
369,2022-06-08,7,1
370,2022-06-09,26,1
371,2022-06-10,9,0
372,2022-06-11,23,1
373,2022-06-12,24,4
374,2022-06-13,10,3
375,2022-06-14,1,0
376,2022-06-15,19,0
377,2022-06-16,7,1
378,2022-06-17,8,1
379,2022-06-18,6,2
380,2022-06-19,27,3
381,2022-06-20,16,2
382,2022-06-21,15,3
383,2022-06-22,5,0
384,2022-06-23,9,1
385,2022-06-24,27,1
386,2022-06-25,11,0
387,2022-06-26,15,1
388,2022-06-27,1,0
389,2022-06-29,2,0
390,2022-06-30,4,0
391,2022-07-01,9,1
392,2022-07-02,1,0
393,2022-07-03,22,0
394,2022-07-04,2,1
395,2022-07-05,6,0
396,2022-07-06,3,0
397,2022-07-07,2,0
398,2022-07-08,3,0
399,2022-07-09,8,0
400,2022-07-10,2,1
401,2022-07-11,9,0
402,2022-07-13,3,1
403,2022-07-14,3,0
404,2022-07-15,1,0
405,2022-07-16,1,1
406,2022-07-17,3,0
407,2022-07-18,0,1
408,2022-07-20,1,0
409,2022-07-22,0,1
410,2022-07-24,10,0
411,2022-07-26,0,1
412,2022-07-27,1,0
413,2022-07-28,2,0
414,2022-07-29,1,0
415,2022-07-31,3,0
416,2022-08-01,4,0
417,2022-08-02,1,0
418,2022-08-09,1,0
419,2022-08-10,9,0
420,2022-08-11,1,0
421,2022-08-12,1,0
422,2022-08-16,4,0
423,2022-08-18,0,1
424,2022-08-20,5,0
425,2022-08-21,0,1
426,2022-08-22,3,1
427,2022-08-25,1,0
428,2022-08-27,3,1
429,2022-08-28,2,0
430,2022-08-30,0,2
431,2022-08-31,1,0
432,2022-09-01,1,0
433,2022-09-02,2,0
434,2022-09-03,3,0
435,2022-09-04,0,1
436,2022-09-05,10,0
437,2022-09-06,5,0
438,2022-09-07,2,0
439,2022-09-08,13,5
440,2022-09-09,6,2
441,2022-09-10,0,2
442,2022-09-11,5,0
443,2022-09-12,10,2
444,2022-09-13,8,0
445,2022-09-14,4,0
446,2022-09-15,20,4
447,2022-09-16,3,2
448,2022-09-17,1,0
449,2022-09-18,7,3
450,2022-09-19,12,0
451,2022-09-20,31,2
452,2022-09-21,5,2
453,2022-09-22,6,4
454,2022-09-23,6,2
455,2022-09-24,8,2
456,2022-09-25,0,2
457,2022-09-26,11,0
458,2022-09-27,10,2
459,2022-09-28,24,3
460,2022-09-29,7,2
461,2022-09-30,2,1
462,2022-10-01,9,0
463,2022-10-02,8,1
464,2022-10-03,9,2
465,2022-10-06,2,0
466,2022-10-07,1,1
467,2022-10-08,6,2
468,2022-10-09,25,3
469,2022-10-10,5,0
470,2022-10-11,5,1
471,2022-10-12,20,2
472,2022-10-13,2,0
473,2022-10-14,13,4
474,2022-10-15,19,4
475,2022-10-16,14,2
476,2022-10-17,5,2
477,2022-10-18,11,2
478,2022-10-19,5,1
479,2022-10-20,10,2
480,2022-10-21,4,1
481,2022-10-22,5,1
482,2022-10-23,38,6
483,2022-10-24,9,2
484,2022-10-25,40,8
485,2022-10-26,9,1
486,2022-10-27,35,2
487,2022-10-28,2,1
488,2022-10-29,7,0
489,2022-10-30,34,1
490,2022-10-31,1,1
491,2022-11-01,9,2
492,2022-11-02,19,2
493,2022-11-04,9,1
494,2022-11-05,6,1
495,2022-11-06,32,3
496,2022-11-07,17,3
497,2022-11-08,8,4
498,2022-11-09,8,0
499,2022-11-10,9,4
500,2022-11-11,12,5
501,2022-11-12,16,4
502,2022-11-13,23,3
503,2022-11-14,6,2
504,2022-11-15,7,1
505,2022-11-16,18,6
506,2022-11-17,19,1
507,2022-11-18,36,5
508,2022-11-19,48,11
509,2022-11-20,17,6
510,2022-11-21,46,7
511,2022-11-22,32,0
512,2022-11-23,36,6
513,2022-11-24,11,0
514,2022-11-25,14,0
515,2022-11-26,3,0
516,2022-11-27,6,6
517,2022-11-28,13,3
518,2022-11-29,26,3
519,2022-11-30,47,9
520,2022-12-01,37,2
521,2022-12-02,17,3
522,2022-12-03,21,5
523,2022-12-04,21,3
524,2022-12-05,26,3
525,2022-12-06,10,4
526,2022-12-07,18,2
527,2022-12-08,8,0
528,2022-12-09,4,0
529,2022-12-10,17,4
530,2022-12-11,12,0
531,2022-12-12,32,3
532,2022-12-13,10,1
533,2022-12-14,29,2
534,2022-12-15,1,2
535,2022-12-16,6,1
536,2022-12-17,26,3
537,2022-12-18,6,3
538,2022-12-19,9,5
539,2022-12-20,2,2
540,2022-12-22,19,1
541,2022-12-24,7,1
542,2022-12-25,15,2
543,2022-12-26,4,1
544,2022-12-27,5,0
545,2022-12-28,8,1
546,2022-12-29,8,1
547,2022-12-30,11,0
548,2022-12-31,2,0
549,2023-01-01,19,1
550,2023-01-02,5,0
551,2023-01-03,8,1
552,2023-01-04,30,3
553,2023-01-05,18,2
554,2023-01-06,8,2
555,2023-01-07,14,0
556,2023-01-08,8,1
557,2023-01-09,22,3
558,2023-01-10,23,2
559,2023-01-11,30,4
560,2023-01-12,14,0
561,2023-01-13,9,6
562,2023-01-14,35,6
563,2023-01-15,4,1
564,2023-01-16,27,3
565,2023-01-17,35,2
566,2023-01-18,18,1
567,2023-01-19,30,3
568,2023-01-20,22,1
569,2023-01-21,11,0
570,2023-01-22,29,0
571,2023-01-23,8,0
572,2023-01-24,21,2
573,2023-01-25,17,9
574,2023-01-26,24,2
575,2023-01-27,4,1
576,2023-01-28,14,2
577,2023-01-29,27,2
578,2023-01-30,2,1
579,2023-01-31,6,2
580,2023-02-01,3,0
581,2023-02-02,25,3
582,2023-02-03,5,1
583,2023-02-04,2,0
584,2023-02-05,10,0
585,2023-02-06,7,2
586,2023-02-07,3,0
587,2023-02-08,1,0
588,2023-02-10,2,0
589,2023-02-11,5,1
590,2023-02-12,6,2
591,2023-02-14,7,0
592,2023-02-15,10,1
593,2023-02-16,5,0
594,2023-02-18,3,0
595,2023-02-19,8,0
596,2023-02-20,2,0
597,2023-02-21,5,0
598,2023-02-22,2,1
599,2023-02-24,6,0
600,2023-02-25,3,0
601,2023-02-26,2,1
602,2023-02-27,6,0
603,2023-02-28,8,1
604,2023-03-01,2,1
605,2023-03-02,6,1
606,2023-03-03,1,0
607,2023-03-04,2,0
608,2023-03-05,2,0
609,2023-03-06,5,0
610,2023-03-08,9,0
611,2023-03-09,16,0
612,2023-03-10,4,0
613,2023-03-11,5,0
614,2023-03-12,11,0
615,2023-03-13,7,0
616,2023-03-14,10,0
617,2023-03-15,9,0
618,2023-03-16,19,0
619,2023-03-17,1,0
620,2023-03-19,26,4
621,2023-03-20,5,1
622,2023-03-21,1,0
623,2023-03-22,4,2
624,2023-03-23,16,1
625,2023-03-24,9,0
626,2023-03-25,29,1
627,2023-03-26,33,0
628,2023-03-27,20,0
629,2023-03-28,9,2
630,2023-03-29,11,1
631,2023-03-31,11,0
632,2023-04-01,0,1
633,2023-04-02,2,0
634,2023-04-03,3,0
635,2023-04-04,23,3
636,2023-04-05,26,4
637,2023-04-06,20,0
638,2023-04-07,17,0
639,2023-04-08,24,2
640,2023-04-09,22,0
641,2023-04-10,8,0
642,2023-04-11,6,1
643,2023-04-12,12,0
644,2023-04-13,16,1
645,2023-04-14,7,1
646,2023-04-15,7,1
647,2023-04-16,3,1
648,2023-04-17,1,0
649,2023-04-18,1,0
650,2023-04-19,6,0
651,2023-04-20,11,0
652,2023-04-21,21,3
653,2023-04-22,16,2
654,2023-04-23,1,0
655,2023-04-24,3,0
656,2023-04-25,12,1
657,2023-04-26,10,3
658,2023-04-27,9,0
659,2023-04-28,4,0
660,2023-04-30,6,2
661,2023-05-01,11,0
662,2023-05-02,8,1
663,2023-05-03,7,0
664,2023-05-04,27,1
665,2023-05-05,21,4
666,2023-05-06,20,10
667,2023-05-07,5,4
668,2023-05-08,10,2
669,2023-05-09,6,1
670,2023-05-10,2,0
671,2023-05-11,5,0
672,2023-05-12,14,3
673,2023-05-13,1,0
674,2023-05-14,3,0
675,2023-05-15,4,2
676,2023-05-16,0,1
677,2023-05-17,3,1
678,2023-05-18,3,1
679,2023-05-19,4,0
680,2023-05-20,10,0
681,2023-05-21,1,0
682,2023-05-23,1,0
683,2023-05-25,8,1
684,2023-05-26,4,1
685,2023-05-27,9,0
686,2023-05-28,16,0
687,2023-05-29,24,1
688,2023-05-30,18,2
689,2023-05-31,6,2
690,2023-06-01,8,0
691,2023-06-02,15,7
692,2023-06-03,13,2
693,2023-06-04,42,3
694,2023-06-05,46,3
695,2023-06-06,37,1
696,2023-06-07,43,0
697,2023-06-08,29,0
698,2023-06-09,8,2
699,2023-06-10,15,3
700,2023-06-11,10,0
701,2023-06-13,0,1
702,2023-06-15,1,0
703,2023-06-16,8,0
704,2023-06-17,3,0
705,2023-06-18,4,1
706,2023-06-19,19,2
707,2023-06-20,56,2
708,2023-06-21,15,1
709,2023-06-22,19,3
710,2023-06-23,27,0
711,2023-06-24,13,0
712,2023-06-25,9,0
713,2023-06-26,22,4
714,2023-06-27,23,0
715,2023-06-28,18,0
716,2023-06-29,19,0
717,2023-06-30,20,2
718,2023-07-01,26,5
719,2023-07-02,11,1
720,2023-07-03,32,4
721,2023-07-04,33,3
722,2023-07-05,16,0
723,2023-07-06,27,5
724,2023-07-07,21,3
725,2023-07-08,21,0
726,2023-07-09,16,1
727,2023-07-10,24,2
728,2023-07-11,17,0
729,2023-07-12,10,1
730,2023-07-13,6,0
731,2023-07-14,12,1
732,2023-07-15,24,2
733,2023-07-16,18,1
