targeting type,targeting value,date
interests,tech news,2023-08-07 00:00:00
interests,green solutions,2023-08-07 00:00:00
interests,technology,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
interests,animation,2023-08-07 00:00:00
age,18 to 54,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
unknown,unknown: 1,2023-08-07 00:00:00
platforms,ios,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
conversation topics,investing,2023-08-07 00:00:00
conversation topics,cryptocurrencies,2023-08-07 00:00:00
follower look-alikes,@coinbase,2023-08-07 00:00:00
follower look-alikes,@ethereum,2023-08-07 00:00:00
follower look-alikes,@coinmarketcap,2023-08-07 00:00:00
conversation topics,tech news,2023-08-07 00:00:00
follower look-alikes,@coinbase,2023-08-07 00:00:00
follower look-alikes,@solana,2023-08-07 00:00:00
follower look-alikes,@vitalikbuterin,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
keywords,airdrop,2023-08-07 00:00:00
keywords,airdropped,2023-08-07 00:00:00
age,18 to 54,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
follower look-alikes,@binance,2023-08-07 00:00:00
conversation topics,business news,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
keywords,airdrop,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
follower look-alikes,@solana,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
age,18 and up,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
list,aiq_271882_0_1,2023-08-07 00:00:00
conversation topics,business & finance,2023-08-07 00:00:00
conversation topics,business news,2023-08-07 00:00:00
conversation topics,tech news,2023-08-07 00:00:00
conversation topics,world news,2023-08-07 00:00:00
follower look-alikes,@coinmarketcap,2023-08-07 00:00:00
follower look-alikes,@cz_binance,2023-08-07 00:00:00
follower look-alikes,@cryptocom,2023-08-07 00:00:00
follower look-alikes,@dogecoin,2023-08-07 00:00:00
